name,category,fund_id,fund_code,risk_class,currency,bid_price,price_date,offer_price,offer_price_date,fund_size_m,mgmt_fee_pct,expense_ratio_pct,inception_date,manager,cpf_oa,cpf_sa,srs,returns_as_at,ret_ytd,ret_1m,ret_3m,ret_6m,ret_1y,ret_3y_ann,ret_3y_cum,ret_5y_ann,ret_5y_cum,ret_10y_ann,ret_10y_cum,ret_si_ann,ret_si_cum,factsheet_as_at,factsheet_local,factsheet_url
GreatLink Global Disruptive Innovation Fund,Global Equity,F00001DUL4_F224,F224,4 - Higher Risk,SGD,1.129,2026-08-21,1.189,2026-08-21,10.67,1.0,1.38,2022-05-24,Great Eastern Life,False,False,True,2026-08-21,6.10902,1.16487,2.07957,14.38703,12.78721,13.31239,45.49,,,,,4.15,18.84,2026-06-30,factsheets/greatlink-global-disruptive-innovation-fund.pdf,https://doc.morningstar.com/Document/e0489eead8570f522eab7668f45c6b71.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Global Equity Alpha Fund,Global Equity,F0HKG07069_F19,F19,4 - Higher Risk,SGD,2.754,2026-08-21,2.899,2026-08-21,307.49,1.6,1.72,2002-03-25,Great Eastern Life,True,False,True,2026-08-21,7.20125,2.56983,5.31549,7.70434,14.1791,16.7407,59.1,8.63719,51.32,11.51552,197.41,4.46,189.89,2026-06-30,factsheets/greatlink-global-equity-alpha-fund.pdf,https://doc.morningstar.com/Document/1749da59446c1d89da710ce06055259a.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Global Equity Fund,Global Equity,F0HKG07068_F07,F07,4 - Higher Risk,SGD,2.568,2026-08-21,2.704,2026-08-21,182.01,1.6,1.75,2000-08-01,Great Eastern Life,False,False,True,2026-08-21,9.50959,0.43019,1.9857,7.94451,20.11225,18.53235,66.54,8.88313,53.04,10.85874,180.35,3.89,170.32,2026-06-30,factsheets/greatlink-global-equity-fund.pdf,https://doc.morningstar.com/Document/532a298f0a1ad11f916eed125a6e02da.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Global Perspective Fund,Global Equity,F0HKG0706D_F16,F16,4 - Higher Risk,SGD,2.574,2026-08-21,2.71,2026-08-21,236.45,1.6,1.7,2002-03-25,Great Eastern Life,True,False,True,2026-08-21,5.92593,0.82256,2.42738,5.44859,12.01044,14.18381,48.87,5.37675,29.93,9.69854,152.35,4.17,170.95,2026-06-30,factsheets/greatlink-global-perspective-fund.pdf,https://doc.morningstar.com/Document/3a8c1e22ce2fa3f14bc7edd4d2aec716.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Global Real Estate Securities Fund,Global Equity,F0HKG070AN_F26,F26,4 - Higher Risk,SGD,0.82,2026-08-21,0.864,2026-08-21,384.61,1.6,1.7,2005-06-08,Great Eastern Life,True,False,True,2026-08-21,10.51213,-3.30189,1.48515,1.3597,12.13387,8.2483,26.84,-0.63563,-3.14,2.65152,29.91,3.21,95.38,2026-06-30,factsheets/greatlink-global-real-estate-securities-fund.pdf,https://doc.morningstar.com/Document/50fc9c20a3f78e22df14f457b76fc1bd.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Global Sustainable Equity Fund,Global Equity,F0HKG070IG_F11,F11,4 - Higher Risk,SGD,2.537,2026-08-21,2.671,2026-08-21,88.27,1.6,1.72,2001-08-15,Great Eastern Life,False,False,True,2026-08-21,1.68337,-1.16868,-0.15742,4.18891,1.31789,4.84961,15.27,-1.47012,-7.14,8.41411,124.31,4.0,167.05,2026-06-30,factsheets/greatlink-global-sustainable-equity-fund.pdf,https://doc.morningstar.com/Document/f7cb2752175df79f8dd51b6608ea3c93.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Global Technology Fund,Global Equity,F0HKG0706C_F09,F09,4 - Higher Risk,SGD,3.909,2026-08-21,4.115,2026-08-21,965.53,1.6,1.69,2001-01-15,Great Eastern Life,True,False,True,2026-08-21,20.38805,-1.68511,0.59187,25.04798,32.8688,26.61052,102.96,9.17747,55.12,17.03196,382.0,5.68,311.47,2026-06-30,factsheets/greatlink-global-technology-fund.pdf,https://doc.morningstar.com/Document/48bc5cb0381d105836aa874b7a3b4023.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink International Health Care Fund,Global Equity,F00001DQQX_F222,F222,4 - Higher Risk,SGD,1.059,2026-08-21,1.115,2026-08-21,28.73,1.75,1.92,2022-04-01,Great Eastern Life,False,False,True,2026-08-21,7.95107,6.75403,12.65957,7.07786,20.47782,4.61278,14.49,,,,,2.51,11.47,2026-06-30,factsheets/greatlink-international-health-care-fund.pdf,https://doc.morningstar.com/Document/edea318ae5b101ebffa60f982f4c0afe.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Lifestyle Dynamic Portfolio,Global Equity,F0HKG0706F_F25,F25,4 - Higher Risk,SGD,3.053,2026-08-21,3.214,2026-08-21,76.28,1.58,1.65,2002-03-25,Great Eastern Life,True,False,True,2026-08-21,15.64394,2.10702,3.56174,9.74119,25.68958,18.68851,67.2,6.56057,37.4,9.6066,150.25,4.9,221.37,2026-06-30,factsheets/greatlink-lifestyle-dynamic-portfolio.pdf,https://doc.morningstar.com/Document/6f00654484d000db8aded5afcc476778.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Multi-Theme Equity Fund,Global Equity,F0000169CN_F213,F213,4 - Higher Risk,SGD,1.214,2026-08-21,1.278,2026-08-21,8.49,1.25,1.53,2021-01-26,Great Eastern Life,False,False,True,2026-08-21,12.19963,3.58362,4.47504,10.96892,18.43902,12.22127,41.33,3.58436,19.25,,,4.5,27.79,2026-06-30,factsheets/greatlink-multi-theme-equity-fund.pdf,https://doc.morningstar.com/Document/13ecfe742ac5b8ed29b6d977801efc82.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
